Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-22 21:00:00,383.29,2018,,,2018
2018-01-22 22:00:00,355.86,2018,,,2018
2018-01-22 23:00:00,329.32,2018,,,2018
2018-01-23 00:00:00,328.29,2018,,,2018
2018-01-23 01:00:00,312.16,2018,,,2018
2018-01-23 02:00:00,302.72,2018,,,2018
2018-01-23 03:00:00,298.78,2018,,,2018
2018-01-23 04:00:00,304.59,2018,,,2018
2018-01-23 05:00:00,319.44,2018,,,2018
2018-01-23 06:00:00,383.95,2018,,,2018
2018-01-23 07:00:00,481.22,2018,,,2018
2018-01-23 08:00:00,518.69,2018,,,2018
2018-01-23 09:00:00,499.51,2018,,,2018
2018-01-23 10:00:00,462.63,2018,,,2018
2018-01-23 11:00:00,431.06,2018,,,2018
2018-01-23 12:00:00,393.99,2018,,,2018
2018-01-23 13:00:00,366.65,2018,,,2018
2018-01-23 14:00:00,359.86,2018,,,2018
2018-01-23 15:00:00,359.96,2018,,,2018
2018-01-23 16:00:00,339.7,2018,,,2018
2018-01-23 17:00:00,364.09,2018,,,2018
2018-01-23 18:00:00,324.45,2018,,,2018
2018-01-23 19:00:00,321.5,2018,,,2018
2018-01-23 20:00:00,304.78,2018,,,2018
2018-01-23 21:00:00,291.31,2018,,,2018
2018-01-23 22:00:00,282.46,2018,,,2018
2018-01-23 23:00:00,276.46,2018,,,2018
